Qatlam (sm),Mexanik tarkib,DNS (%),Tuproq zichligi (g/cm³),pH,EC (mS/cm),N (mg/kg),P (mg/kg),K (mg/kg),Gumus (%),Mg (mg/kg),S (mg/kg),Zn (mg/kg),Mn (mg/kg),B (mg/kg),Fe (mg/kg),Cu (mg/kg),Mikroorganizmlar(CFU/g),Ekin
0-20,Loy,25.7851748972128,1.12466020837761,6.21628055355452,1.28995375389659,99.0071292066494,64.8406107456916,181.418175761913,1.9484294722688,193.481684724279,15.2758831958337,37.7690641907833,94.6728226006702,0.994143676571293,157.038494612408,19.7429804926926,15757574,Loviya
20-40,Qumoq,27.9110059264107,1.21275282686558,5.94047567294758,1.51791104532704,143.144932736707,84.1657097265844,243.006221414205,3.40973324694159,173.434738054485,26.07197862974,35.087334368376,161.335657540802,1.12143157122477,127.818783815616,7.09838750604782,35365172,Kartoshka
20-40,Loy,25.8696154238303,1.29810869139567,6.5677490245065,1.64386321990073,111.906582707837,64.5487060947211,228.014871277365,1.07912604546609,135.093478701288,16.5976231236836,43.8943964200539,60.9672115859602,0.667897415546272,75.6201528102947,11.0270276804045,54190786,Qalampir
20-40,Qumoq,19.7985628582336,1.43185447763033,7.02615314817562,2.0520649953826,97.6186914143441,66.0361800987768,135.609312315431,0.792598393223347,78.1816892355037,12.9895817390526,32.2598898600174,56.1326676073923,0.409859796587574,46.0183348358192,8.44656455478693,57831,Qalampir
0-20,Loy,28.0733308891921,1.18030400852758,6.01366682044733,1.35031457755427,172.221990153519,60.3710389415506,223.271491068117,2.37033143130164,176.255060056244,38.3614834717608,44.4663324601052,150.755777500178,1.47141457760461,279.024315241232,20.3778128094101,457163643,Makkajo'xori
20-40,Gill,23.3517532532845,1.28142974030965,5.92243643296143,1.57263788342699,119.803563400777,62.7935301132557,219.617055484769,2.53980474411479,177.554873337231,23.4785383049071,21.3155063213277,170.999978525171,1.20023505738774,104.130771953117,6.85537002496822,3897245,Kartoshka
0-20,Qumoq,29.685377083742,1.37750401329267,7.90179385351463,3.48572212158241,25.6060571678713,19.1792978403185,132.817249981931,1.34818193036166,190.931564990792,12.4959551596275,28.1974963849065,99.1478793946632,,199.845689136136,12.4072345165956,13266479,Paxta
20-40,Qumoq,22.9128208568027,1.44159597870261,8.16864436609157,2.35979543989541,5.21021375357222,11.3878912293502,139.496541642964,0.774300258797281,180.825457530355,12.1436039658942,13.1772660500496,172.725265379018,0.583474152532819,154.3356630294,11.6655206385728,58388,Bug'doy
20-40,Loy,22.0256801421065,1.50671167710332,6.87848644402858,1.64533189913881,100.905269501447,45.3575702318297,151.136592566205,1.12358126352242,71.9630333246159,13.0654304440715,22.5859455507568,59.2887312741275,0.487222443586897,84.7424178740627,8.67197858783906,191758,Qalampir
20-40,Loy,27.9614208929787,1.2322433471847,7.15211389977747,1.682126560674,118.548404808991,56.7443913963083,236.971513930957,2.45483396892007,149.434162683639,28.4635604533442,52.924472917566,146.091013484801,1.57467930401261,213.15295820187,15.1615182678795,218141768,Makkajo'xori
0-20,Gill,26.2305490846742,1.15555591955063,6.61730411795049,1.22451712098791,197.306926080292,27.4678364342239,183.703566616804,1.47653187679937,60.8896510338404,20.0636099593114,4.00503542241301,12.9542389186621,0.70421733784803,20.5278245718726,1.52679624107001,1216116,Sabzi
40-60,Qumoq,22.5879934348727,1.45018039209585,6.66698214669145,1.36399922362623,107.131020325171,72.0443086538175,208.338066939701,1.72069990332608,98.5885814614842,18.5222440423855,28.619726150028,140.898299436047,0.993110798780025,139.445543279117,13.492150837396,184966,Kartoshka
40-60,Loy,26.933160964288,1.41529867896156,7.76563771743502,2.27315017557346,17.47822214653,6.50415118008079,131.802134308268,,186.202724521674,13.4629632890713,51.0658560596959,218.892009923506,1.42665960379081,134.229152689089,17.1073573064796,605707,Bug'doy
0-20,Loy,28.7709098422958,1.27250965652871,6.50464122799467,1.53784611958222,93.8067304327711,45.0113653582441,137.818885064069,1.62304900942634,183.803569054088,16.382635752756,35.9848146084428,85.8482500773266,0.770935819603673,149.97876664064,17.3411396371592,75545177,Loviya
20-40,Loy,23.5165217727347,1.56742619716765,6.98254093164859,2.04268593760284,74.8504288482088,50.3010008224997,178.868335832053,1.90639913278355,84.6619124526815,24.9880287333611,47.3806729314124,35.5497825300989,0.464872667039865,89.7134662000667,6.30658403263541,3695761,Makkajo'xori
20-40,Loy,22.219027310978,1.68490305406145,8.65807872171803,3.69370301673957,14.4965746767076,9.35605054365379,115.96101320276,0.57408003069961,99.58617730469,7.63849226624296,17.5353217221828,60.0424352551876,0.678487171998391,77.407250348299,8.74408845911208,229987,Paxta
40-60,Qum,23.6922237413133,1.47578066984249,6.07113371373679,1.23405262187529,123.688350016703,46.726342416522,237.76178236,2.29707811649205,85.7855964061024,18.9730396124141,37.9465194651898,54.3880407049146,1.0829152889315,72.3980819208502,11.9758767817313,,Kartoshka
40-60,Qumoq,25.9493430814397,1.31160999382466,6.00531481756481,1.23555821796348,116.854105979064,73.7953724575652,179.759296367856,1.68125654110815,129.577687240965,16.8822324150244,20.7840897236263,69.1715302938545,0.407533373821346,94.4308651825153,15.248132170181,6318711,Kartoshka
0-20,Qumoq,22.483844641908,1.03151459935805,6.56835779654466,1.17283330269379,161.560499198192,47.5108019497053,127.6237472127,1.20041691643419,62.1514113381433,25.5268669465334,2.74377251985243,16.8647024940688,0.946048426566746,18.845935512174,2.58800959045274,1096986,Sabzi
20-40,Qumoq,20.2113667095634,1.15482687530562,6.54634144823909,1.58844634827676,141.424726126838,38.5542007751307,160.109320456197,1.03052374263182,55.5374369692641,23.2202774142761,4.12112786349025,10.1526806521783,0.811734252703126,21.353525179288,1.55238318992511,421078,Sabzi
0-20,Loy,31.8933331654166,1.26400892392855,6.18068760781792,1.77443490625358,170.694788803958,63.31128354114,258.445450404298,2.78249060844573,153.412654466514,26.2387122764348,66.8954090744621,116.866234725439,1.45347874755027,281.778313413135,12.4380087654442,613208065,Makkajo'xori
40-60,Qum,27.6740795380439,1.42945255273433,7.62147377141625,2.03761117355311,19.6631079950288,5.7139370282613,85.8910107628213,0.804005101549679,217.513382358873,11.491661002867,36.9423362294868,154.063928132723,1.5012289395337,145.455324533672,14.3081331399038,2214536,Bug'doy
0-20,Loy,28.0909130745584,1.2560282708767,7.17354677993571,1.60833250121918,24.4218318765179,17.5934450036817,139.51734908577,1.30068904821794,281.86351768642,15.3083112996013,45.635250059724,247.714547946026,0.885485759719039,179.558818215289,19.2763623980355,91462520,Bug'doy
0-20,Qumoq,25.3747774413856,1.23794877863575,6.34787075001445,1.24009170050028,166.802713491551,86.7585634915912,266.052341733191,3.99304197772669,156.472253691584,27.3171507097618,32.6264842756316,178.489096094358,0.903207102799541,188.885604408744,12.0997926343292,396029525,Kartoshka
20-40,Qumoq,28.4544831830357,1.38702092905715,7.72708764797656,2.12310035385821,20.2736690168465,8.14598367367223,149.248978663345,1.13221017011335,216.041844339198,10.3559210205498,39.6195455037235,225.94153011306,0.830824993092114,216.161924504357,17.4774788536491,5174858,Bug'doy
20-40,Qumoq,17.4504877046652,1.49859950337241,6.54476425463469,1.51092459000204,126.67060495176,19.1688860888308,84.7360310438941,0.728755389561324,48.167142176022,8.30574237588665,2.80101941173865,13.3130694613145,0.585833221097401,13.608883601309,1.13772037463311,115769,Sabzi
20-40,Loy,23.2714521658814,1.30813716021122,6.25219114390708,1.53736881159397,50.6353287909463,44.3043173408723,122.712497187561,1.05480933922088,157.718856607673,12.9510564040922,35.1055209064032,106.398489183761,0.62303512742134,170.76961402753,12.679458157539,5480347,Loviya
20-40,Loy,24.3628111543076,1.48540461006537,7.7541136003099,1.3408233746794,66.1682045650083,60.745932381764,218.556168246694,2.3847506751573,126.553594422854,17.7247116635781,22.3142358059341,46.3153181202775,0.807591435834443,197.041987357034,6.22080562136523,7978069,Makkajo'xori
20-40,Loy,24.2352837332843,1.45536407993928,6.97931472952123,1.50504104791575,129.351460722092,65.3467726291876,213.916291840794,2.36231501515917,92.8802661949104,16.7640951438331,35.7873666754935,69.0892503857288,0.207687778063661,120.151642018332,16.2290196142933,19420318,Makkajo'xori
0-20,Loy,32.8331136303551,1.39650238156377,6.70407364897619,3.14068350513922,22.0145077244407,24.4477217438325,143.468274590922,1.15106427370919,175.076972325595,18.8366423978029,32.9156375281666,105.982668364499,0.648889940403335,141.848672293059,10.7107831757561,50647757,Paxta
20-40,Loy,22.9723938716291,1.46181849682547,8.14159797554252,1.52353325074472,11.8858722217976,10.7797002317777,78.4542084571993,0.514930542977315,108.695512922602,12.8907126469525,38.2239351535285,150.165872846336,0.597735821426195,65.5604664906472,10.2294469897049,76323,Bug'doy
40-60,Gill,27.517238132126,,7.96675928658551,2.2813381464239,11.9749432182036,6.5527034353094,124.369488056772,0.622887821026114,208.204091570698,13.0381959481328,,83.3009672576631,1.2652612085818,176.858487332701,13.827268429467,330814,Bug'doy
40-60,Qum,23.4478950637025,1.32642072971723,6.7011943641308,1.44822494013469,108.604509327543,66.7058052971604,170.466881902418,1.12899247466476,103.511715839293,18.6655171955165,39.1991969215111,66.941713594387,0.400299407619209,52.1571718071337,9.10037269511909,128517,Qalampir
20-40,Loy,19.368037065489,1.38052267806045,6.57048870085761,2.05277667899002,107.16026854554,62.1096381652784,141.069813842827,1.27972670756855,137.350509812629,6.59073490314965,33.173824798995,58.8796457072274,0.636971379504514,43.9353825235896,5.89129862755916,500657,Qalampir
20-40,Loy,25.1708080126595,1.34544218268783,6.37377698471999,1.8349515019523,59.1179139818411,51.0531723539212,175.543054167903,1.58038552999959,112.210926483593,11.6378427303202,22.0124140181094,92.6134028180034,0.53313970469236,122.620725923921,10.1999438865076,32051479,Loviya
0-20,Qumoq,23.2713198721005,1.10335012827624,6.56338604570578,1.26311481532055,180.782956891403,49.9758627247912,130.75773821932,1.3739822972973,68.7296398682262,25.1169211289727,2.95220571051967,15.2338747928047,0.677748407806264,22.0118623687692,2.77034799310289,,Sabzi
40-60,Loy,27.8677101199069,1.4467008033657,8.0368592569541,1.59068633050732,15.1471102642664,11.7134971863901,149.255389917911,1.0772423031402,214.946394852971,11.8531591995224,53.9863204494172,84.5084417052909,0.642430646375041,100.2519296989,12.249905711077,348213,Bug'doy
20-40,Loy,28.4266003536958,1.64075759383051,8.07006565812027,2.7022881045444,14.8654978958401,10.6325484528556,98.6669049455268,0.773284592049415,75.3832015899729,8.59081102577648,26.1837811634842,73.5752353514071,0.383925849119269,135.938191681473,11.5725092265809,104350,Paxta
40-60,Loy,23.8513807868283,1.36185015627513,6.41283300592658,1.91170345324572,61.3359432193778,47.409801926255,135.779788807345,1.42655153885844,159.865391517131,9.27465134635817,29.3126901394341,43.4734527434252,0.686334932928056,93.8043413686152,13.4766765170646,1250243,Loviya
20-40,Gill,27.9893895599018,1.56918216633236,8.55338316014736,3.88213367801756,17.3142600976841,15.6717555994038,83.758586116241,0.598708068793421,82.0736372669878,9.69194486649052,14.5430430735067,36.3268592759272,0.666209324764281,52.8898343685696,13.1753594353974,,Paxta
20-40,Loy,25.9690033615038,1.42290618901092,7.15924674974064,2.96861499214318,20.4265385754766,18.5477131746669,113.508389089649,1.48792291207762,108.023709583468,16.1424837005715,20.9575322228604,63.4303803878627,0.891325711055653,112.489124667392,6.06754496539208,12863516,Paxta
0-20,Qum,27.610570022574,1.12810224734129,6.65579138877777,1.40186301133906,197.645221092628,45.6072406882838,160.238011760714,,61.2689533547237,25.7708527457837,4.39399162932908,13.6238366287075,0.875550951334603,19.4479827743791,2.19020411326612,3286351,Sabzi
0-20,Loy,32.3273243357322,1.20465159949755,6.29064297113168,1.03018667796295,164.468808133508,86.4255714254945,289.47093766565,2.68265853975999,177.508427904128,27.2050994663991,53.7879566203792,199.579254226405,0.93971461137619,201.248888322335,13.4950277925605,161875796,Makkajo'xori
0-20,Loy,30.0159275045046,1.23143619198007,7.43295715199337,1.29158368110106,24.1155758693257,17.2360394078221,133.521942304991,1.09443804419516,216.311228934738,19.0110653985126,40.2997127321239,224.331333652811,1.43599370493307,159.988339007131,13.8765149553265,13165680,Bug'doy
0-20,Yengil qum,,1.28983596265156,7.2745632747966,3.1275858415335,24.5655899875242,22.113902369487,144.309834524955,1.58986824712556,189.967119498565,15.7062291781326,31.5852816441199,131.015019590667,0.957408854551284,109.518465992761,17.6187029777711,17302590,Paxta
20-40,Qumoq,20.2792845375009,1.37155959119239,6.8118640778537,1.8190720687624,108.753695329123,15.8113898105122,129.062407443788,0.680965858236678,57.1355111494813,7.2454337869683,1.01316873156056,10.8849559786664,0.422415140454125,13.0897292663575,1.21937163307575,123493,Sabzi
20-40,Loy,23.5601397489034,1.42670808781827,8.11515761627962,1.53199965457554,7.66427209274028,6.68817325452362,85.2493779827348,0.557964610556681,162.994027701941,7.2357325021711,11.3571010320497,155.427414045833,0.813992835670251,147.707492018009,10.9739633852484,584398,Bug'doy
40-60,Loy,25.6209076977281,1.44553538746131,7.37454721178892,1.3863127135326,98.8974816927029,76.6228814743127,227.590115002081,2.20838569805291,157.748749947399,16.6581313404117,45.8341297374365,65.2514934378465,0.810717894158249,204.002775093093,12.2771202506945,13529221,Makkajo'xori
40-60,Qum,24.7432775299125,1.32944012266984,6.65082930396473,1.59552378320593,94.2163225947375,70.5983965313346,146.725110701666,1.94923526648224,123.856279617697,23.3878841714432,26.1788225589199,124.60163218049,0.927061649515988,111.7443075473,14.1242036211724,529474,Kartoshka
40-60,Loy,21.4429602787375,1.32019752011226,6.5413288554342,1.56054951542761,100.100526078961,53.6011461507568,203.522122578515,1.21423254185073,95.9761293915974,17.9513070637122,29.4671983578133,75.2017157114875,0.632996329231867,51.6417307448022,8.05205919412634,3116009,Qalampir
40-60,Loy,22.2721757213659,1.44630717182631,6.89987885252366,1.23113020386197,78.1359237393588,59.2372576452133,150.959298712829,0.915113157612625,115.23600009273,13.9836291520204,34.176476027075,74.3792915375016,0.4991931803133,156.638832294695,,441068,Loviya
0-20,Qumoq,24.3956095809332,1.09385137006546,6.09097265461972,1.00393685575614,185.69488811497,41.8708553511239,125.411042013307,1.40011782331757,64.6629081302263,17.0061931244676,4.91321860354341,15.5935920282587,0.756488524724789,19.0966311297654,2.64251345453721,694444,Sabzi
20-40,Loy,30.2891064748089,1.48302937549905,7.05176839194939,2.32483951130991,23.6348351436313,17.3766016747405,118.7643565101,0.99308147233493,165.647829612687,16.3058825218804,44.8626376666137,58.9064145949596,0.554923079445295,88.7493654727664,13.8184281535652,6239696,Paxta
40-60,Loy,24.6017879354083,1.44172299874588,6.62508674711668,1.75477012101284,159.220451129487,78.5646143376017,197.765299411221,2.11741158960709,88.9013042815689,27.7570186496915,49.4043107545632,136.00921047985,0.75495660433829,144.803441370616,12.5396798750529,12877004,Makkajo'xori
40-60,Qumoq,18.5958601919456,1.38981650907096,6.65334262175192,1.3890958612037,121.494874185763,17.9262374930767,90.3210527126861,,70.6721958857131,17.5238207353014,2.72265309323549,12.0083482927986,0.76821346308685,13.7593603707113,1.54102948211254,238807,Sabzi
20-40,Loy,30.4271045214499,,7.21238226266163,1.14111090807876,150.415413023297,67.6420800438122,246.734023893461,2.05292722506372,142.467796888843,22.520108532285,62.4464390015962,88.6812229949891,0.740703131471785,203.603575985617,17.8253375390064,12905052,Makkajo'xori
20-40,Qumoq,20.0734575443636,1.32544440308489,6.37648097386933,1.78669778312337,81.9871378692018,23.2803425617695,91.3727392685015,2.29464175565135,131.216894137935,24.2319024697648,34.7524421212525,31.1904192502961,0.249273332279283,101.059720492843,10.7483279632954,276971,Kartoshka
20-40,Gill,27.995240537855,1.31458768588017,6.68045132054319,1.7395557159107,129.571418749564,51.3680244674362,209.005852672643,2.26255524078969,170.905168710943,32.1402141615415,47.909651702493,127.019281173175,1.7787324424934,195.848863298509,14.0788907968545,261147491,Makkajo'xori
20-40,Gill,21.897969960452,1.41295965893813,7.02109719369911,2.03660441338424,115.180202407062,25.1916240219822,131.979586126212,0.486386356848734,31.1276905965125,8.66916756166995,1.46488954917159,12.45032394677,0.504926904547716,10.4499522906669,1.4371461457636,36909,Sabzi
20-40,Qumoq,20.4881986130018,1.48603040891954,7.05845394492806,1.56091180915608,114.352073054929,33.6422683588035,88.4254924801767,0.854028002993621,67.6037760202485,8.57010963300018,1.40583994120309,8.20312173467488,0.504142276320662,13.5270263831294,1.31866610673774,116602,Sabzi
0-20,Loy,33.2690281648876,1.26484609272888,7.53378661715844,2.72378504758431,24.997565049495,19.33506644903,113.903593433411,1.73899594009554,169.151793131588,12.5713196357343,43.6363393627057,81.8004946308175,0.947890088907167,110.991790507604,16.3300497157905,35553001,Paxta
20-40,Qumoq,24.5166618233915,1.4346589087137,7.66839807107254,3.41761470245353,,21.1707820385507,134.835622786562,1.47644855266766,135.543929212144,12.5476425006196,24.1905425628478,115.906946555395,0.742777807472762,99.4369485663272,14.5233653149538,59067671,Paxta
40-60,Loy,22.1112014291404,1.49107325720642,6.76591307730983,1.32656173456318,111.927245322651,78.4160390759271,167.37515391417,1.26512053757235,149.174183376474,11.9071086390216,18.5634550134083,71.4389588214711,0.40892542837469,56.7283301062555,9.7057771568266,173599,Qalampir
0-20,Loy,30.1906009441155,1.28854554168351,7.28605322646348,1.3482443199617,27.0795738186626,18.1266023706155,143.928795845083,1.28822190430406,200.749142249329,14.1121540615399,,321.663430748925,1.03686813054208,219.885749508247,16.6755926907128,,Bug'doy
0-20,Yengil qum,29.8362933706025,1.11362414276843,7.08530003047336,1.76298379432293,181.215443339163,95.8202624451402,234.473119098136,2.91151051756168,143.612963239931,29.945907405753,66.1177594241698,93.8462406998097,1.35887116096493,216.720679035772,22.857324380324,409901987,Makkajo'xori
0-20,Loy,29.3562646264734,1.16144446520692,6.61553194063264,1.13825722955148,,61.4979790367287,253.533565304876,2.31060343244904,159.734875060886,39.5595719165515,67.4320009604749,184.127026832291,1.08441342644512,255.905640010282,24.8201919135515,269015085,Makkajo'xori
20-40,Loy,26.3062143352265,1.35396028066349,7.64221752066396,1.38124244931975,121.013360669715,52.2222009677231,195.506233743156,1.63634815809651,123.281678019748,12.8742532252788,41.9099557415144,135.199802847857,0.668902793642536,63.7315125563957,8.33556282269078,8635651,Makkajo'xori
20-40,Loy,24.678733525955,1.47134652401298,8.29888968919743,2.17910066089229,14.9036460809805,8.31713102085195,73.8264497598723,0.764014462296588,193.911263559709,,26.3614413054566,179.877561020593,1.37556890038514,104.965305019925,,47139,Bug'doy
40-60,Qumoq,22.1344665421854,1.56475779695879,8.15491510169052,3.00262314645708,17.4890042900718,14.8771237626418,97.7243853352299,0.722914515938889,141.608588278331,13.6712699001322,18.6174821842132,44.3674660083754,0.555511212014337,101.34640078644,7.38545067626106,123600,Paxta
20-40,Gill,23.390821243581,1.53535823284791,6.57582356561544,1.45887626130882,95.6053329230296,53.4022640641216,93.3572731869485,2.43663121263589,125.695155356596,14.0702913652307,12.0338065738487,25.0751937973002,0.490536195652736,,4.43694598148178,54863,Kartoshka
